filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
101-freeway-traffic.test.out,0.562828844,0.572448668,0.255652912,0.488880709,0.117829882,0.079779467,0.235433346,0.576846659,0.186334753,0.143839462,0.091451345,0.137341578,Dodgers,288,0.111349206,133,42.19548872,33,60.99074978,50400,0,0,1,mixed
MBA_ECG801_data.out,0.352856056,0.119975722,0.134776757,0.346139835,0.190572765,0.355169773,0.090249007,0.356688605,0.076801565,0.099358887,0.098286724,0.216204215,ECG,147,0.126700307,345,83.69565217,75,81.35189341,227900,0,1,0,sequence
MBA_ECG803_data.out,0.553325345,0.057065351,0.047848911,0.933448254,0.278262295,0.575975186,0.329473412,0.571523984,0.267873817,0.079139726,0.06594809,0.371890731,ECG,125,0.047851563,147,75,75,0,230400,0,1,0,sequence
MBA_ECG805_data.out,0.719569518,0.084641396,0.057043952,0.775089407,0.437734414,0.625321245,0.288350399,0.702386781,0.352157662,0.080113413,0.095012241,0.563268025,ECG,99,0.087673611,208,97.11538462,101,19.97633585,230400,0,1,0,sequence
MBA_ECG806_data.out,0.095403291,0.243351991,0.309502656,0.663310014,0.026927544,0.049986342,0.336183604,0.07186893,0.335520266,0.085862822,0.057361235,0.033610934,ECG,77,0.022630208,61,85.47540984,75,47.24009361,230400,0,1,0,sequence
MBA_ECG820_data.out,0.073305803,0.123101942,0.311926101,0.609973377,0.061716672,0.057156664,0.223685775,0.055153945,0.248582219,0.059546791,0.062835497,0.059237428,ECG,100,0.062439236,191,75.31937173,75,3.155248536,230400,0,1,0,sequence
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.009240669,0.027673782,0.030566622,0.045048807,0.248378582,0.007443646,0.009281916,0.010883559,0.004024359,0.237627017,0.213164273,0.491014367,IOPS,125,0.006645209,63,15.73015873,10,14.85186787,149130,0,1,0,sequence
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.010921406,0.161513509,0.446752665,0.022054451,0.21342023,0.005583235,0.005564144,0.00772748,0.015790884,0.014157993,0.091199926,0.01330105,IOPS,288,0.001479964,4,3.25,3,0.433012702,8784,0,1,0,sequence
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0.005594961,0.008781196,0.009446552,0.049994916,0.366492704,0.004992133,0.004949498,0.007442905,0.005932241,0.336884073,0.362742162,0.520027769,IOPS,125,0.007275015,57,18.66666667,9,36.7687574,146254,0,1,0,sequence
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0.030813281,0.069858084,0.099073676,0.046757994,0.092094216,0.020508623,0.0600979,0.022633737,0.028789363,0.086482558,0.110130349,0.035660216,IOPS,288,0.02345173,33,6.242424242,4,7.702932551,8784,0,1,0,sequence
