filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
101-freeway-traffic.test.out,0.789245099,0.528457638,0.523189094,0.780871951,0.561967217,0.296598278,0.641819616,0.775967047,0.658808047,0.615858709,0.359097027,0.470948595,Dodgers,288,0.111349206,133,42.19548872,33,60.99074978,50400,0,0,1,mixed
MBA_ECG801_data.out,0.807439869,0.48187484,0.514667039,0.813916349,0.587446826,0.805644433,0.357020569,0.815330533,0.220826173,0.406694955,0.399607565,0.631228366,ECG,147,0.126700307,345,83.69565217,75,81.35189341,227900,0,1,0,sequence
MBA_ECG803_data.out,0.974166656,0.469957778,0.389756864,0.997130279,0.734172071,0.980218467,0.890453594,0.963986488,0.931446754,0.601407896,0.557305504,0.663711467,ECG,125,0.047851563,147,75,75,0,230400,0,1,0,sequence
MBA_ECG805_data.out,0.93040804,0.462079642,0.244094463,0.974199114,0.721249303,0.893628837,0.704587912,0.93644099,0.857042404,0.449671705,0.511667828,0.874459831,ECG,99,0.087673611,208,97.11538462,101,19.97633585,230400,0,1,0,sequence
MBA_ECG806_data.out,0.535587728,0.783036768,0.914707069,0.987385509,0.542096853,0.349671086,0.775272274,0.457215786,0.859422322,0.714542346,0.631410567,0.466392478,ECG,77,0.022630208,61,85.47540984,75,47.24009361,230400,0,1,0,sequence
MBA_ECG820_data.out,0.393363493,0.640276111,0.835627848,0.97154951,0.483775348,0.378144038,0.417995051,0.382296891,0.791876052,0.492602224,0.501249209,0.420434432,ECG,100,0.062439236,191,75.31937173,75,3.155248536,230400,0,1,0,sequence
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.640057538,0.560916496,0.801358594,0.905604926,0.696768248,0.567788079,0.572838453,0.692536083,0.247657736,0.74332803,0.756572427,0.991758472,IOPS,125,0.006645209,63,15.73015873,10,14.85186787,149130,0,1,0,sequence
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.654185097,0.833389917,0.884057444,0.745057004,0.871005186,0.305620223,0.329292444,0.515265491,0.705814548,0.552928452,0.44344857,0.667978602,IOPS,288,0.001479964,4,3.25,3,0.433012702,8784,0,1,0,sequence
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0.624534952,0.408711127,0.739390336,0.848494443,0.739834055,0.588046376,0.547913631,0.701331799,0.651676483,0.792869857,0.853328749,0.994665973,IOPS,125,0.007275015,57,18.66666667,9,36.7687574,146254,0,1,0,sequence
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0.590234268,0.695970313,0.720688147,0.689791846,0.6036309,0.464996417,0.587221866,0.51334343,0.556877957,0.656316962,0.590263699,0.620558934,IOPS,288,0.02345173,33,6.242424242,4,7.702932551,8784,0,1,0,sequence
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,0.853177105,0.301343379,0.153916495,0.220637942,0.828318342,0.801490351,0.489527772,0.876955865,0.547382654,0.568607134,0.523265174,0.66722089,IOPS,6,0.012711097,63,30.0952381,4,93.62025868,149161,0,1,0,sequence
