filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
101-freeway-traffic.test.out,0.141869651,0.101419878,0.190237797,0.188208979,0.021380846,0.010360905,0.061003608,0.262996001,0.050578512,0.038905583,0.033354715,0.08287553,Dodgers,288,0.111349206,133,42.19548872,33,60.99074978,50400,0,0,1,mixed
MBA_ECG801_data.out,0.093100073,0.029201378,0.045775491,0.218974929,0.097315145,0.020517001,0,0.102191997,0.000544774,0.012548516,0.013218424,0.075715379,ECG,147,0.126700307,345,83.69565217,75,81.35189341,227900,0,1,0,sequence
MBA_ECG803_data.out,0.58259703,0.056157707,0.055252435,0.72058993,0.314181439,0.634432897,0.149861581,0.601728809,0.159173612,0.077244931,0.036028546,0.319665855,ECG,125,0.047851563,147,75,75,0,230400,0,1,0,sequence
MBA_ECG805_data.out,0.524617487,0.018237355,0.010366305,0.328363073,0.383488784,0.209403364,0.193835707,0.472445325,0.137024563,0.012292762,0.01902402,0.44045689,ECG,99,0.087673611,208,97.11538462,101,19.97633585,230400,0,1,0,sequence
MBA_ECG806_data.out,0.124708144,0.318223146,0.268065574,0.59526283,0.040969417,0.086943069,0.205310881,0.082146249,0.424685085,0.092653571,0.098254064,0.015226494,ECG,77,0.022630208,61,85.47540984,75,47.24009361,230400,0,1,0,sequence
MBA_ECG820_data.out,0.036918138,0.048351385,0.217226797,0.063680167,0.057043271,0.044726142,0.306732158,0.025570228,0.26579935,0.021945466,0.024124199,0.00953961,ECG,100,0.062439236,191,75.31937173,75,3.155248536,230400,0,1,0,sequence
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.010046044,0.128798186,0.076346285,0.022094565,0.134809251,0.013823437,0.017426273,0.021862702,0,0.199521695,0.20694259,0.509528586,IOPS,125,0.006645209,63,15.73015873,10,14.85186787,149130,0,1,0,sequence
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.012861736,0.244897959,0.314917127,0,0.368421053,0,0,0,0.044094488,0.04519774,0.116666667,0,IOPS,288,0.001479964,4,3.25,3,0.433012702,8784,0,1,0,sequence
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0,0.05227656,0.003610108,0.066298343,0.123803446,0.005695509,0.002635046,0,0,0.230842006,0.265356265,0.497870327,IOPS,125,0.007275015,57,18.66666667,9,36.7687574,146254,0,1,0,sequence
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0,0.144838213,0.232294618,0.044642857,0.247368421,0,0,0,0,0.124260355,0.129251701,0,IOPS,288,0.02345173,33,6.242424242,4,7.702932551,8784,0,1,0,sequence
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,0.040172166,0.019047619,0,0,0.3440435,0.126410835,0.127299485,0.264128912,0.001740644,0.077398549,0.081372549,0.245473908,IOPS,6,0.012711097,63,30.0952381,4,93.62025868,149161,0,1,0,sequence
KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,0.104128158,0.134588757,0.030541872,0.08500449,0.273014203,0.052398655,0,0.082896118,0.01468968,0.135429262,0.100096868,0.514014661,IOPS,51,0.051901065,45,124.6444444,22,475.1982583,108071,0,1,0,sequence
KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,0.41900471,0.070463887,0.02430484,0.1573219,0.460858172,0.414253898,0.409412745,0.405469679,0.007984032,0.451150032,0.4030871,0.457239627,IOPS,20,0.063713714,158,52.03797468,9,526.4341819,129046,0,1,0,sequence
KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,0.533477712,0.440635867,0.266001426,0.344081793,0.568489628,0.433718559,0.014132195,0.5581571,0.014132195,0.137155103,0.11537415,0.436988111,IOPS,9,0.023210919,23,112.3913043,10,266.151271,111370,0,1,0,sequence
KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,0.101694915,0.077720207,0,0.120967742,0.472131148,0,0.076335878,0.076335878,0.02259887,0.289256198,0.256410256,0.36453202,IOPS,19,0.006993007,5,12.4,6,15.34405422,8866,0,1,0,sequence
KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,0.06504451,0.048280907,0.115841228,0.02436358,0.374048066,0.001138466,0,0.099377476,0,0.085828585,0.088688004,0.294739184,IOPS,60,0.040842738,72,84.59722222,3,156.2025626,149133,0,1,0,sequence
KPI-57051487-3a40-3828-9084-a12f7f23ee38.test.out,0.005307856,0,0,0,0.047073791,0.037010676,0,0.023638232,0,0.088197147,0.078571429,0.238341969,IOPS,20,0.000411895,5,9.2,10,2.785677655,111679,0,1,0,sequence
KPI-6a757df4-95e5-3357-8406-165e2bd49360.test.out,0.561857632,0.331477733,0.362472494,0.413762087,0.591328574,0,0.217654172,0.51000241,0,0.006554071,0.052410383,0.11576498,IOPS,9,0.023792345,14,188.4285714,11.5,348.1085041,110876,0,1,0,sequence
KPI-6d1114ae-be04-3c46-b5aa-be1a003a57cd.test.out,0.015296964,0.053899974,0.008005822,0,0.127252666,0.012238325,0.006884682,0.024838156,0.000777303,0.143070045,0.092943201,0.335260116,IOPS,125,0.005103204,53,14.35849057,3,29.74425224,149122,0,1,0,sequence
KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.test.out,0.207309115,0.313447486,0.088734709,0.037762044,0.249252456,0.148821899,0.008739076,0.2767747,0.004291845,0.283650373,0.205222508,0.5061465,IOPS,15,0.035421192,119,44.39495798,27,85.1208946,149148,0,1,0,sequence
KPI-7103fa0f-cac4-314f-addc-866190247439.test.out,0.042723632,0,0,0,0.009269162,0.074276352,0,0.14873838,0,0.009717583,0.011487651,0.259803922,IOPS,191,0.000627162,21,3.238095238,3,0.920908553,108425,0,1,0,sequence
KPI-847e8ecc-f8d2-3a93-9107-f367a0aab37d.test.out,0.005993151,0.081321474,0.019303688,0.073813708,0.097513598,0.004305705,0.018706574,0.021645022,0.018924034,0.195194085,0.233370494,0.531380753,IOPS,6,0.00766611,59,19,18,28.33396477,146228,0,1,0,sequence
KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out,0,0.071290944,0.00529188,0.006224989,0.093928386,0.008375084,0.033251834,0.025997498,0.055160142,0.109550562,0.103425986,0.353994984,IOPS,125,0.005438646,62,13.08064516,3,28.16672619,149118,0,1,0,sequence
KPI-9c639a46-34c8-39bc-aaf0-9144b37adfc8.test.out,0.054674152,0.131778742,0.020668693,0.094866797,0.238651102,0.087586434,0,0.030498534,0.023432923,0.170553936,0.111075849,0.458067263,IOPS,165,0.056396543,46,132.5,17,483.5971082,108074,0,1,0,sequence
KPI-a07ac296-de40-3a7c-8df3-91f642cc14d0.test.out,0.097470238,0.047254725,0.009491168,0.130121816,0.257355988,0.111036339,0,0.134558388,0.00487635,0.090456807,0.080945199,0.23647089,IOPS,11,0.053186194,60,94.38333333,23,361.4841671,106475,0,1,0,sequence
KPI-a8c06b47-cc41-3738-9110-12df0ee4c721.test.out,0.388571429,0.368983957,0,0.005134788,0.334365325,0.188679245,0,0.379679144,0,0.243137255,0.176923077,0.428134557,IOPS,9,0.016759039,10,12.7,4.5,19.91004771,7578,0,1,0,sequence
KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.test.out,0,0,0.008492569,0.014234875,0.157258065,0,0,0,0,0.015706806,0.109947644,0,IOPS,287,0.017346939,14,13.35714286,12.5,5.601111406,10780,0,1,0,sequence
KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.test.out,0.003848004,0.013351135,0,0.019359643,0.371987426,0,0.178725702,0.280643635,0,0.091574099,0.095038068,0.275782155,IOPS,125,0.009763836,92,15.52173913,4,43.12254486,146254,0,1,0,sequence
KPI-ba5f3328-9f3f-3ff5-a683-84437d16d554.test.out,0.120882635,0.057200201,0.044438958,0.254614895,0.394880174,0.178132678,0.045579568,0.102688455,0.068643785,0.152759167,0.092694064,0.280046428,IOPS,125,0.017204331,61,41.21311475,3,82.28561111,146126,0,1,0,sequence
KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251.test.out,0,0.014888337,0.330357143,0.051818182,0.417391304,0,0,0,0.038647343,0.057971014,0.25,0.048387097,IOPS,288,0.006944444,5,12.2,3,17.90418945,8784,0,1,0,sequence
KPI-c69a50cf-ee03-3bd7-831e-407d36c7ee91.test.out,0.003681885,0.044110746,0.023193577,0.05023761,0.117647059,0.011206134,0.007761966,0,0,0.278702892,0.245640074,0.509803922,IOPS,125,0.004706387,59,11.89830508,11,9.313185323,149159,0,1,0,sequence
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.test.out,0.005592135,0.080122637,0.052977534,0.331977707,0.056161158,0.005910474,0,0.00836966,0,0.049531583,0.05598492,0.11968032,IOPS,8,0.081648269,77,113.6363636,11,231.1684554,107167,0,1,0,sequence
