filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
101-freeway-traffic.test.out,0.043232555,0.028207383,0.253433154,0.050379111,0.053009269,0.014388489,0.030595056,0.055588185,0.037338152,0.156971258,0.14335091,0.219396142,Dodgers,288,0.111349206,133,42.19548872,33,60.99074978,50400,0,0,1,mixed
MBA_ECG801_data.out,0.094161298,0.046013398,0.06032989,0.207889142,0.198177231,0.029695844,0,0.114377327,0.004540783,0.047596438,0.052340536,0.119792465,ECG,147,0.126700307,345,83.69565217,75,81.35189341,227900,0,1,0,sequence
MBA_ECG803_data.out,0.479622639,0.039011615,0.040232764,0.786037302,0.173834401,0.650445567,0.10903332,0.581481239,0.245187766,0.142576403,0.103948811,0.463815965,ECG,125,0.047851563,147,75,75,0,230400,0,1,0,sequence
MBA_ECG805_data.out,0.417506521,0.042150741,0.012325632,0.481211162,0.356388529,0.267875171,0.365839404,0.460709422,0.226086912,0.047331019,0.050470303,0.564757039,ECG,99,0.087673611,208,97.11538462,101,19.97633585,230400,0,1,0,sequence
MBA_ECG806_data.out,0.088805855,0.29732508,0.289253289,0.618460683,0.042340698,0.052037312,0.31647129,0.017260063,0.273882837,0.089462184,0.107942482,0.019909111,ECG,77,0.022630208,61,85.47540984,75,47.24009361,230400,0,1,0,sequence
MBA_ECG820_data.out,0.030865608,0.050850426,0.387391872,0.09491345,0.095574641,0.038333542,0.481676049,0.020280889,0.250518627,0.059637804,0.065784347,0.011813822,ECG,100,0.062439236,191,75.31937173,75,3.155248536,230400,0,1,0,sequence
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.015681943,0.170728091,0.033221857,0.006333523,0.105439289,0.006578947,0.004620304,0.006220066,0,0.123498942,0.148776236,0.472591168,IOPS,125,0.006645209,63,15.73015873,10,14.85186787,149130,0,1,0,sequence
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.008438819,0.210427755,0.114427861,0,0.131772671,0,0,0,0.01810847,0.090614887,0.035120148,0,IOPS,288,0.001479964,4,3.25,3,0.433012702,8784,0,1,0,sequence
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0,0.030909228,0.00087822,0.035450517,0.083385441,0.00332521,0.002028398,0,0,0.137958831,0.148173348,0.479979595,IOPS,125,0.007275015,57,18.66666667,9,36.7687574,146254,0,1,0,sequence
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0,0.062091979,0.086397036,0.054347826,0.064448181,0,0,0,0,0.163179161,0.129289695,0,IOPS,288,0.02345173,33,6.242424242,4,7.702932551,8784,0,1,0,sequence
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,0.012783412,0.013781055,0,0,0.117080796,0.024916574,0.015530211,0.133453988,0.003932244,0.099547544,0.096255118,0.334851575,IOPS,6,0.012711097,63,30.0952381,4,93.62025868,149161,0,1,0,sequence
KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,0.068229163,0.080795854,0.005761546,0.053018399,0.1422629,0.027600284,0,0.040473041,0.010735665,0.113549816,0.096191414,0.394208107,IOPS,51,0.051901065,45,124.6444444,22,475.1982583,108071,0,1,0,sequence
KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,0.00916983,0.002243733,0.006385281,0.049417006,0.265175962,0.010329734,0.009730053,0.010324156,0.016646331,0.63315469,0.486380275,0.524437851,IOPS,20,0.063713714,158,52.03797468,9,526.4341819,129046,0,1,0,sequence
KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,0.026673925,0.21363053,0.157863045,0.196740355,0.138981006,0.175776263,0.01381121,0.199120543,0.01381121,0.231705754,0.213378425,0.552224258,IOPS,9,0.023210919,23,112.3913043,10,266.151271,111370,0,1,0,sequence
