filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
101-freeway-traffic.test.out,0.076813402,0.053466405,0.108358581,0.104972376,0.012831937,0.005346641,0.033149171,0.152379255,0.027267867,0.021921226,0.01853502,0.047050437,Dodgers,288,0.111349206,133,42.19548872,33,60.99074978,50400,0,0,1,mixed
MBA_ECG801_data.out,0.052709957,0.017177489,0.026493506,0.156987013,0.058181818,0.010458874,0,0.058285714,0.000277056,0.007445887,0.007861472,0.042839827,ECG,147,0.126700307,345,83.69565217,75,81.35189341,227900,0,1,0,sequence
MBA_ECG803_data.out,0.571156463,0.035011338,0.036281179,0.567256236,0.273287982,0.636734694,0.11047619,0.634557823,0.122993197,0.054421769,0.023582766,0.208253968,ECG,125,0.047851563,147,75,75,0,230400,0,1,0,sequence
MBA_ECG805_data.out,0.389554455,0.010049505,0.005891089,0.19950495,0.246287129,0.12049505,0.108811881,0.336336634,0.082574257,0.007524752,0.011782178,0.295891089,ECG,99,0.087673611,208,97.11538462,101,19.97633585,230400,0,1,0,sequence
MBA_ECG806_data.out,0.087073264,0.234944381,0.19601074,0.549482163,0.054468738,0.053893364,0.121595704,0.066359801,0.38473341,0.078250863,0.078250863,0.007671653,ECG,77,0.022630208,61,85.47540984,75,47.24009361,230400,0,1,0,sequence
MBA_ECG820_data.out,0.023981649,0.028082858,0.135687474,0.033991381,0.046642569,0.025997498,0.184484916,0.014806061,0.18462394,0.013902405,0.014528013,0.00479633,ECG,100,0.062439236,191,75.31937173,75,3.155248536,230400,0,1,0,sequence
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.012108981,0.143289606,0.056508577,0.025227043,0.344096872,0.044399596,0.039354188,0.025227043,0,0.294651867,0.312815338,0.768920283,IOPS,125,0.006645209,63,15.73015873,10,14.85186787,149130,0,1,0,sequence
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.056338028,0.507042254,0.802816901,0,0.690140845,0,0,0,0.197183099,0.056338028,0.098591549,0,IOPS,288,0.001479964,4,3.25,3,0.433012702,8784,0,1,0,sequence
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0,0.097946288,0.004739336,0.056872038,0.45971564,0.04107425,0.004739336,0,0,0.385466035,0.511848341,0.830963665,IOPS,125,0.007275015,57,18.66666667,9,36.7687574,146254,0,1,0,sequence
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0,0.22815534,0.199029126,0.048543689,0.22815534,0,0,0,0,0.101941748,0.09223301,0,IOPS,288,0.02345173,33,6.242424242,4,7.702932551,8784,0,1,0,sequence
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,0.029535865,0.022679325,0,0,0.550632911,0.206751055,0.091244726,0.596518987,0.001054852,0.075949367,0.087552743,0.24314346,IOPS,6,0.012711097,63,30.0952381,4,93.62025868,149161,0,1,0,sequence
KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,0.179978701,0.258785942,0.033013845,0.151224707,0.552715655,0.157614483,0,0.084132055,0.021299255,0.178913738,0.165069223,0.634717785,IOPS,51,0.051901065,45,124.6444444,22,475.1982583,108071,0,1,0,sequence
KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,0.311320755,0.036518564,0.01795496,0.14516129,0.428180158,0.311320755,0.2991479,0.311320755,0.005477785,0.325319537,0.278149726,0.493000609,IOPS,20,0.063713714,158,52.03797468,9,526.4341819,129046,0,1,0,sequence
KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,0.571760155,0.343133462,0.360928433,0.338491296,0.64139265,0.370212766,0.018568665,0.571760155,0.018568665,0.099032882,0.082011605,0.319922631,IOPS,9,0.023210919,23,112.3913043,10,266.151271,111370,0,1,0,sequence
KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,0.083333333,0.138888889,0,0.138888889,0.666666667,0,0.138888889,0.138888889,0.018518519,0.324074074,0.277777778,0.342592593,IOPS,19,0.006993007,5,12.4,6,15.34405422,8866,0,1,0,sequence
KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,0.044984403,0.037924807,0.079297324,0.012805779,0.310458053,0.000656707,0,0.072073551,0,0.058118536,0.059596125,0.217534067,IOPS,60,0.040842738,72,84.59722222,3,156.2025626,149133,0,1,0,sequence
