filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
101-freeway-traffic.test.out,0.868573651,0.913907285,0.49307237,0.570988695,0.051399605,0.166666667,0.401682968,0.742804622,0.409009009,0.151952695,0.12191995,0.318813131,Dodgers,288,0.111349206,133,42.19548872,33,60.99074978,50400,0,0,1,mixed
MBA_ECG801_data.out,0.413689172,0.128508617,0.152114672,0.25464765,0.215544373,0.509131486,0,0.37143971,0.026431718,0.040728832,0.0460199,0.320341615,ECG,147,0.126700307,345,83.69565217,75,81.35189341,227900,0,1,0,sequence
MBA_ECG803_data.out,0.546117666,0.037538829,0.035610288,0.994735942,0.120897118,0.603955801,0.068094043,0.510446359,0.24204999,0.106033183,0.075186909,0.658969907,ECG,125,0.047851563,147,75,75,0,230400,0,1,0,sequence
MBA_ECG805_data.out,0.745492599,0.113632566,0.010680701,0.94390833,0.456561555,0.814659419,0.870400341,0.781935147,0.227551603,0.032171923,0.03236478,0.857333333,ECG,99,0.087673611,208,97.11538462,101,19.97633585,230400,0,1,0,sequence
MBA_ECG806_data.out,0.085092006,0.304315661,0.246337634,0.661437719,0.023264683,0.054004798,0.342129686,0.012173145,0.22905745,0.055458577,0.07065638,1,ECG,77,0.022630208,61,85.47540984,75,47.24009361,230400,0,1,0,sequence
MBA_ECG820_data.out,0.03133189,0.164563337,0.671337736,0.827061221,0.06081961,0.048725429,0.835098581,0.025119577,0.206941428,0.043709295,0.054193925,0.8625,ECG,100,0.062439236,191,75.31937173,75,3.155248536,230400,0,1,0,sequence
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.01194354,0.130866297,0.034841591,0.003275681,0.061153899,0.003669725,0.002348123,0.003215021,0,0.075606416,0.096698547,0.336248855,IOPS,125,0.006645209,63,15.73015873,10,14.85186787,149130,0,1,0,sequence
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.004329004,0.185523114,0.064606742,0,0.094413847,0,0,0,0.00932765,0.074074074,0.026315789,0,IOPS,288,0.001479964,4,3.25,3,0.433012702,8784,0,1,0,sequence
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0,0.016883205,0.00045018,0.026490066,0.045948054,0.001731921,0.001075269,0,0,0.082362729,0.089961042,0.34,IOPS,125,0.007275015,57,18.66666667,9,36.7687574,146254,0,1,0,sequence
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0,0.043084358,0.223728814,0.263157895,0.086335049,0,0,0,0,0.244897959,0.205357143,0,IOPS,288,0.02345173,33,6.242424242,4,7.702932551,8784,0,1,0,sequence
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,0.090909091,0.007996057,0,0,0.068911511,0.057911065,0.333333333,0.194856672,0.005025126,0.057636888,0.055264018,0.210742188,IOPS,6,0.012711097,63,30.0952381,4,93.62025868,149161,0,1,0,sequence
KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,0.060398182,0.060461393,0.003376906,0.033081133,0.084373135,0.015342763,0,0.030849335,0.006468091,0.067932489,0.054786621,0.360515873,IOPS,51,0.051901065,45,124.6444444,22,475.1982583,108071,0,1,0,sequence
KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,0.038304564,1,0.00377045,0.175647211,0.304315476,0.618874773,0.136074197,0.58125,0.035714286,0.685161051,0.628642668,0.389958333,IOPS,20,0.063713714,158,52.03797468,9,526.4341819,129046,0,1,0,sequence
KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,0.014855988,0.209997662,0.113174967,0.226465554,0.081274646,0.418408243,0.007132164,0.420609813,0.007132164,0.156027571,0.145752728,0.656091954,IOPS,9,0.023210919,23,112.3913043,10,266.151271,111370,0,1,0,sequence
KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,0.170212766,0.026978417,0,0.053571429,0.155235988,0,0.026315789,0.026315789,0.037735849,0.130584192,0.139846743,0.29375,IOPS,19,0.006993007,5,12.4,6,15.34405422,8866,0,1,0,sequence
KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,0.134515012,0.075193955,0.065890099,0.504237288,0.279675066,0.002629849,0,0.056740753,0,0.135780742,0.150461599,0.389335206,IOPS,60,0.040842738,72,84.59722222,3,156.2025626,149133,0,1,0,sequence
KPI-57051487-3a40-3828-9084-a12f7f23ee38.test.out,0.016605166,0,0,0,0.005793743,0.006377238,0,0.005266502,0,0.012531328,0.012315271,0.07235119,IOPS,20,0.000411895,5,9.2,10,2.785677655,111679,0,1,0,sequence
KPI-6a757df4-95e5-3357-8406-165e2bd49360.test.out,0.290148074,0.322909987,0.096718948,0.256004989,0.029499072,0,0.304556638,0.350099272,0,0.01323043,0.050563025,0.252083333,IOPS,9,0.023792345,14,188.4285714,11.5,348.1085041,110876,0,1,0,sequence
KPI-6d1114ae-be04-3c46-b5aa-be1a003a57cd.test.out,0.015421861,0.008817679,0.038594012,0,0.05297619,0.005004474,0.000765387,0.0120754,0.000133797,0.096892942,0.040841351,0.152664474,IOPS,125,0.005103204,53,14.35849057,3,29.74425224,149122,0,1,0,sequence
KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.test.out,0.18892599,0.148563178,0.009950588,0.017708333,0.245221232,0.151272004,0.006481481,0.079932634,0.007246377,0.275189036,0.239472565,0.394089835,IOPS,15,0.035421192,119,44.39495798,27,85.1208946,149148,0,1,0,sequence
KPI-7103fa0f-cac4-314f-addc-866190247439.test.out,0.023685867,0,0,0,0.004782609,0.018300221,0,0.040633823,0,0.004825922,0.005919106,0.117121212,IOPS,191,0.000627162,21,3.238095238,3,0.920908553,108425,0,1,0,sequence
KPI-847e8ecc-f8d2-3a93-9107-f367a0aab37d.test.out,0.005692184,0.029341476,0.001525651,0.275118064,0.045842217,0.000957867,0.00228257,0.002240143,0.00026409,0.068427371,0.09172357,0.376692708,IOPS,6,0.00766611,59,19,18,28.33396477,146228,0,1,0,sequence
KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out,0,0.025791418,0.001604016,0.001978239,0.042100694,0.000527933,0.0066719,0.005034523,0.015445939,0.058212047,0.044184874,0.213686343,IOPS,125,0.005438646,62,13.08064516,3,28.16672619,149118,0,1,0,sequence
KPI-9c639a46-34c8-39bc-aaf0-9144b37adfc8.test.out,0.051215039,0.012067116,0.007397737,0.166315268,0.103385273,0.05095051,0,0.004248366,0.013143093,0.076774127,0.067155756,0.304166667,IOPS,165,0.056396543,46,132.5,17,483.5971082,108074,0,1,0,sequence
KPI-a07ac296-de40-3a7c-8df3-91f642cc14d0.test.out,0.15339233,0.043023415,0.00135054,0.257352941,0.164142733,0.07713885,0,0.053348159,0.074074074,0.094095789,0.07126597,0.246169355,IOPS,11,0.053186194,60,94.38333333,23,361.4841671,106475,0,1,0,sequence
KPI-a8c06b47-cc41-3738-9110-12df0ee4c721.test.out,0.092473118,0.092712843,0,0.001713796,0.165413534,0.869230769,0,0.287449393,0,0.202020202,0.157407407,0.330555556,IOPS,9,0.016759039,10,12.7,4.5,19.91004771,7578,0,1,0,sequence
KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.test.out,0,0,0.003731343,0.021276596,0.223231068,0,0,0,0,0.062091503,0.186147186,0,IOPS,287,0.017346939,14,13.35714286,12.5,5.601111406,10780,0,1,0,sequence
KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.test.out,0.017167382,0.000800179,0,0.026156942,0.077521008,0,0.092406477,0.080962211,0,0.068643602,0.068479938,0.224206349,IOPS,125,0.009763836,92,15.52173913,4,43.12254486,146254,0,1,0,sequence
