filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
101-freeway-traffic.test.out,0.022167974,0.014324755,0.170545804,0.026352096,0.054723011,0.007518797,0.015903178,0.028874512,0.019561976,0.16233264,0.173922891,0.167243744,Dodgers,288,0.111349206,133,42.19548872,33,60.99074978,50400,0,0,1,mixed
MBA_ECG801_data.out,0.053126847,0.028023747,0.037626412,0.175638354,0.183400064,0.015293943,0,0.067596085,0.002483736,0.057249769,0.060673825,0.073670939,ECG,147,0.126700307,345,83.69565217,75,81.35189341,227900,0,1,0,sequence
MBA_ECG803_data.out,0.427562796,0.040604686,0.046234316,0.649723356,0.30924263,0.704689342,0.273414966,0.675482993,0.248407962,0.217554154,0.168348702,0.35784127,ECG,125,0.047851563,147,75,75,0,230400,0,1,0,sequence
MBA_ECG805_data.out,0.289943366,0.025874254,0.01456947,0.322918704,0.292263686,0.1602909,0.231589607,0.326556986,0.224640955,0.089504815,0.114554371,0.421063555,ECG,99,0.087673611,208,97.11538462,101,19.97633585,230400,0,1,0,sequence
MBA_ECG806_data.out,0.092858681,0.290648456,0.350276657,0.580727789,0.235168512,0.050208146,0.294392963,0.029650369,0.340521097,0.231249235,0.228551436,0.010054645,ECG,77,0.022630208,61,85.47540984,75,47.24009361,230400,0,1,0,sequence
MBA_ECG820_data.out,0.030413002,0.030071255,0.27224458,0.05034555,0.223015782,0.031595113,0.338443281,0.017005236,0.31734415,0.093831986,0.083681195,0.005947644,ECG,100,0.062439236,191,75.31937173,75,3.155248536,230400,0,1,0,sequence
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.022826909,0.245510414,0.031746032,0.095238095,0.382252145,0.031746032,0.142857143,0.095238095,0,0.336918146,0.322415273,0.794912647,IOPS,125,0.006645209,63,15.73015873,10,14.85186787,149130,0,1,0,sequence
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.166666667,0.243055556,0.5,0,0.218055556,0,0,0,0.308888889,0.116666667,0.052777778,0,IOPS,288,0.001479964,4,3.25,3,0.433012702,8784,0,1,0,sequence
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0,0.182643827,0.017857143,0.053571429,0.450187849,0.041541353,0.017857143,0,0,0.424508698,0.419853847,0.81588207,IOPS,125,0.007275015,57,18.66666667,9,36.7687574,146254,0,1,0,sequence
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0,0.111111111,0.053535354,0.03030303,0.051414141,0,0,0,0,0.122352092,0.094343434,0,IOPS,288,0.02345173,33,6.242424242,4,7.702932551,8784,0,1,0,sequence
